Filename	Deck Title	Commander	Partner	Companion	Identity	Power Level	Blind Playable	Source	Notes
22-08-22-saskia-the-unyielding.dek	Average Saskia	Saskia the Unyielding			WBRG	5	Y	https://tappedout.net/mtg-decks/22-08-22-saskia-the-unyielding/	EDHREC Average Deck with a couple tweaks
19-01-22-sheoldred-whispering-one.dek	Sheoldred Reanimator	Sheoldred, Whispering One			B	6	Y	https://tappedout.net/mtg-decks/19-01-22-sheoldred-whispering-one/	Early board control with reanimation subtheme
03-10-22-sigarda-host-of-herons.dek	Average Sigarda	Sigarda, Host of Herons			WG	5	Y	https://tappedout.net/mtg-decks/03-10-22-sigarda-host-of-herons/	EDHREC Low Budget Average Deck
30-11-20-sliver-edh-copy.dek	Slivers	Sliver Overlord			WUBRG	5	Y	https://tappedout.net/mtg-decks/30-11-20-sliver-edh-copy/	Slow toolbox sliver deck, with combo potential
my-tasigur-4.dek	Comboless Tasigur	Tasigur, the Golden Fang			UBG	6	Y	https://tappedout.net/mtg-decks/my-tasigur-4/	Value good stuff Tasigur trying to win without comboing
10-01-21-teshar.dek	Teshar Combo	Teshar, Ancestor's Apostle			W	6	Y	https://tappedout.net/mtg-decks/10-01-21-teshar/	Teshar loop combo deck.  Might be difficult blind
26-04-21-oops-all-spells.dek	Oops All Spells	Thrasios, Triton Hero	Tymna the Weaver		WUBG	6	Y	https://tappedout.net/mtg-decks/26-04-21-oops-all-spells/	Ultra brittle turbo combo
three-word-vhati.dek	Three word Vhati	Vhati il-Dal			BG	5	Y	https://tappedout.net/mtg-decks/three-word-vhati/	Three word card name theme deck
26-12-21-XJt-volo-guide-to-monsters.dek	Volo	Volo, Guide to Monsters			UG	7	Y	https://tappedout.net/mtg-decks/26-12-21-XJt-volo-guide-to-monsters/	Typical Volo good creatures deck
fishsticks-4.dek	Fishsticks	Wrexial, the Risen Deep			UB	4	Y	https://tappedout.net/mtg-decks/fishsticks-4/	Fish with swords n' stuff
17-01-22-PUE-yedora-grave-gardener.dek	Yedora Value Combo	Yedora, Grave Gardener			G	6	Y	https://tappedout.net/mtg-decks/17-01-22-PUE-yedora-grave-gardener/	Sacrifice value with combo payoffs
13-12-21-yennett-cryptic-sovereign.dek	Budget Yennett	Yennett, Cryptic Sovereign			WUB	5	Y	https://tappedout.net/mtg-decks/13-12-21-yennett-cryptic-sovereign/	Low budget topdeck manipulation
11-06-22-yidris-maelstrom-wielder.dek	Yidris	Yidris, Maelstrom Wielder			UBRG	7	Y	https://tappedout.net/mtg-decks/11-06-22-yidris-maelstrom-wielder/	Typical Yidris cascade deck
rhystic-study-tribal.dek	Rhystic Study Tribal	Zur the Enchanter			WUB	6	Y	https://tappedout.net/mtg-decks/rhystic-study-tribal/	Tutor + Copy + Animate Rhystic Studies
